strategy,fingerprint,commit,asset,timeframe,train_end,run_date,trade_no,window,direction,entry_time,entry_price_raw,entry_price_fill,exit_time,exit_price_raw,exit_price_fill,exit_reason,bars_held,atr_at_entry,stop_loss,take_profit,size_units,position_value,equity_at_entry,gross_pnl,fees_paid,slippage_paid,costs_paid,net_pnl,return_pct,gross_return_pct,equity_after,regime_at_entry,regime_adx,regime_entropy
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,1,train,short,2024-01-03 12:00:00,43702.89,43681.038555,2024-01-03 12:00:00,42192.068555,42213.1645892775,target,1,744.485,44797.766055,42192.068555,0.057233071435611155,2500.0,10000.0,86.46895168813835,4.91598906446133,2.458016149468577,7.374005213929907,79.09494647420844,0.007909494647420844,0.008646895168813834,10079.094946474208,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,2,train,short,2024-01-03 16:00:00,43000.01,42978.50999500001,2024-01-04 16:00:00,44378.819995000005,44401.0094049975,stop,7,933.5399999999998,44378.819995000005,41111.429995000006,0.05862868994089593,2519.773736618552,10079.094946474208,-80.83782368426345,5.122946750086954,2.5614531655869968,7.684399915673951,-88.5222235999374,-0.00878275520471246,-0.008020345488712905,9990.57272287427,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,3,train,short,2024-01-04 20:00:00,43956.48,43934.50176000001,2024-01-08 16:00:00,45421.645688571436,45444.35651141572,stop,24,991.4292857142854,45421.645688571436,41951.643188571434,0.05684924332048616,2497.6431807185677,9990.57272287427,-83.29356073442503,5.081120461578959,2.540539407398853,7.621659868977813,-90.91522060340284,-0.009100100977719192,-0.00833721579782081,9899.657502270868,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,4,train,long,2024-01-08 20:00:00,46979.36,47002.84968,2024-01-09 12:00:00,45925.70718,45902.74432641,stop,5,718.0949999999996,45925.70718,48439.03968,0.05265456014725014,2474.914375567717,9899.657502270868,-55.47962578500988,4.891903187626517,2.44593772390661,7.337840911533127,-62.81746669654301,-0.006345418180591945,-0.00560419648581615,9836.840035574325,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,5,train,long,2024-01-09 16:00:00,46868.08,46891.51404,2024-01-09 20:00:00,45584.564040000005,45561.77175798001,stop,2,871.2999999999998,45584.564040000005,48634.11404,0.052444670624108965,2459.2100088935813,9836.840035574325,-67.31357176298685,4.848682121791673,2.4243242325027268,7.2730063542944,-74.58657811728125,-0.00758237176243016,-0.006843007665017574,9762.253457457044,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,6,train,short,2024-01-10 00:00:00,46110.0,46086.945,2024-01-11 12:00:00,47702.00892857143,47725.85993303571,stop,10,1076.7092857142864,47702.00892857143,43933.52642857143,0.052955633409076275,2440.563364364261,9762.253457457044,-84.30584120540482,4.967916507111022,2.483937177095058,7.45185368420608,-91.7576948896109,-0.009399233003883997,-0.00863589964886709,9670.495762567432,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,7,train,short,2024-01-11 16:00:00,46783.77,46760.378115,2024-01-12 16:00:00,44115.38240071428,44137.440091914636,target,7,1322.4978571428578,48744.12490071428,44115.38240071428,0.04874863985770944,2279.504832338453,9670.495762567432,130.08026607835717,4.4311450036204265,2.215605021876385,6.646750025496812,123.43351605286036,0.012763928456558243,0.013451251029122212,9793.929278620293,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,8,train,short,2024-01-12 20:00:00,43472.56,43450.82372,2024-01-18 16:00:00,40835.20800571429,40855.62560971714,target,36,1307.807857142857,45412.53550571429,40835.20800571429,0.04992542406046759,2169.300799997624,9793.929278620293,131.67091671143393,4.209035233818452,2.104550534638122,6.313585768456574,125.35733094297736,0.012799493173452536,0.013444135950508201,9919.28660956327,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,9,train,short,2024-01-18 20:00:00,41022.33,41001.818835000005,2024-01-19 16:00:00,41886.87240642858,41907.81584263179,stop,6,590.0357142857138,41886.87240642858,39821.74740642858,0.060480771898684414,2479.8216523908177,9919.28660956327,-52.288192079946434,5.014438703141105,2.507206279522144,7.521644982663249,-59.80983706260968,-0.006029651064316107,-0.005271366191751625,9859.47677250066,not computed,,
cheat-degraded-to-a-guess,1dd169613d57,3fd443c,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,10,train,long,2024-01-19 20:00:00,41814.27,41835.177135,2024-01-22 04:00:00,40805.69820642857,40785.295357325354,stop,15,686.3192857142848,40805.69820642857,43207.81570642857,0.05891857909842612,2464.869193125165,9859.47677250066,-59.42361699597964,4.86788084368841,2.433925565940079,7.301806409628489,-66.72542340560813,-0.006767643450584908,-0.006027055833400784,9792.751349095051,not computed,,
