strategy,fingerprint,commit,asset,timeframe,train_end,run_date,trade_no,window,direction,entry_time,entry_price_raw,entry_price_fill,exit_time,exit_price_raw,exit_price_fill,exit_reason,bars_held,atr_at_entry,stop_loss,take_profit,size_units,position_value,equity_at_entry,gross_pnl,fees_paid,slippage_paid,costs_paid,net_pnl,return_pct,gross_return_pct,equity_after,regime_at_entry,regime_adx,regime_entropy
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,1,train,short,2024-01-14 00:00:00,42847.99,42826.566005,2024-01-18 16:00:00,40890.01743357143,40910.46244228822,target,29,968.2742857142855,44278.97743357143,40890.01743357143,0.058374981540853056,2500.0,10000.0,114.29661242276418,4.888147489896337,2.444102319101148,7.332249808997485,106.9643626137667,0.010696436261376669,0.011429661242276418,10106.964362613766,Ranging,23.491827627736438,1.9305926869737982
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,2,train,long,2024-01-28 00:00:00,42120.63,42141.69031499999,2024-01-29 16:00:00,43073.59745785714,43052.06065912821,target,11,465.9535714285724,41442.75995785713,43073.59745785714,0.05995822834268393,2526.7410906534415,10106.964362613766,57.13824044134561,5.10806637427653,2.5540474716980697,7.662113845974599,49.47612659537101,0.004895250920086945,0.005653353310782731,10156.440489209137,Chaotic,29.95753091848353,1.972382990111991
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,3,train,short,2024-02-06 08:00:00,42889.99,42868.545005,2024-02-07 16:00:00,43519.71321928572,43541.47307589536,stop,9,434.1121428571444,43519.71321928572,42000.32071928571,0.05923014466682117,2539.1101223022843,10156.440489209137,-37.2985973783495,5.118077871594065,2.5590296111475226,7.6771074827415875,-44.97570486109109,-0.004428294037549494,-0.003672408401149788,10111.464784348045,Ranging,13.943800777386375,1.946380286614546
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,4,train,long,2024-02-08 00:00:00,44349.6,44371.7748,2024-02-08 12:00:00,45252.90622857143,45230.27977545715,target,4,440.5657142857152,43710.92622857143,45252.90622857143,0.05697013940688735,2527.8661960870113,10111.464784348045,51.4614817688242,5.104641540307322,2.5523336355238513,7.656975175831174,43.80450659299303,0.004332162305584038,0.005089419076896115,10155.269290941038,Ranging,13.38554808094162,1.891468062946132
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,5,train,short,2024-02-22 16:00:00,51602.41,51576.60879500001,2024-02-26 12:00:00,52835.16236642858,52861.57994761179,stop,24,839.0357142857154,52835.16236642858,49898.53736642858,0.04922420031193249,2538.8173227352595,10155.269290941038,-60.681249420089046,5.140886322881736,2.5704279911281134,7.711314314009849,-68.3925637340989,-0.006734687360295623,-0.005975346165780112,10086.87672720694,Chaotic,15.29067702251966,1.9607025538742815
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,6,train,long,2024-02-27 00:00:00,54476.48,54503.71824,2024-02-27 00:00:00,55707.85824,55680.00431088,target,1,602.0700000000003,53600.61324,55707.85824,0.046266920188778204,2521.719181801735,10086.87672720694,56.97207875227809,5.097861497364047,2.5489449917016316,7.646806489065678,49.32527226321241,0.004890044123387498,0.0056481386947665885,10136.201999470153,Ranging,19.766415048622047,1.9041385810150144
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,7,train,short,2024-03-16 20:00:00,66911.51,66878.05424499999,2024-03-19 20:00:00,62353.30567357141,62384.48232640819,target,19,2262.3742857142893,70271.61567357143,62353.30567357141,0.029868921523359925,1997.575353878913,10136.201999470153,136.148647313535,3.8609325607618334,1.9305003175426805,5.791432878304514,130.3572144352305,0.0128605580711636,0.013431919304750623,10266.559213905384,Chaotic,26.941749432000794,1.9746016132511133
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,8,train,long,2024-03-26 00:00:00,69880.0,69914.94,2024-04-02 00:00:00,67974.9675,67940.98001625,stop,43,1293.3150000000019,67974.9675,72501.57,0.03671089188485817,2566.639803476346,10266.559213905384,-69.93544214464112,5.060813775404209,2.5303894038414825,7.591203179245691,-77.52664532388681,-0.007551375656498628,-0.0068119650106257725,10189.032568581497,Ranging,22.04636950286117,1.9150340200142297
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,9,train,short,2024-04-02 08:00:00,66455.5,66422.27225000001,2024-04-04 16:00:00,68103.58689285716,68137.63868630359,stop,15,1120.876428571429,68103.58689285716,64180.51939285715,0.03834945803356454,2547.258142145374,10189.032568581497,-63.203239133293366,5.160299657451958,2.5801340279158893,7.740433685367847,-70.94367281866121,-0.006962748655590753,-0.006203065767812384,10118.088895762836,Chaotic,31.666735626017275,1.9766066684041523
ma-cross-20-50,3ae81a2303c0,0d633c5,BTC-USD,4h,2025-10-01 00:00:00,2026-07-26,10,train,long,2024-04-07 16:00:00,69543.73,69578.501865,2024-04-08 08:00:00,71380.381865,71344.69167406751,target,5,900.9399999999993,68227.091865,71380.381865,0.03635493947323881,2529.522223940709,10118.088895762836,66.77136738548644,5.123254171488318,2.5616437785859176,7.684897950074236,59.086469435412205,0.005839686727812395,0.006599207426755103,10177.175365198247,Chaotic,26.351008676055812,1.994012004737964
