datetime,open,high,low,close
2023-07-28,29222.53906,29534.15039,29126.0,29314.15039
2023-07-29,29312.21094,29398.060547,29256.18945,29352.90039
2023-07-30,29352.91016,29445.49023,29052.0,29281.080078
2023-07-31,29279.5,29499.99023,29127.0097656,29232.25
2023-08-01,29232.25,29717.9707,28625.0,29717.9707
2023-08-02,29746.30078,30029.48047,28961.99023,29186.0097656
2023-08-03,29175.2793,29420.7793,28992.039062,29193.64062
2023-08-04,29193.019531,29323.99023,28909.089844,29113.99023
2023-08-05,29114.0,29148.64062,28990.0,29072.13086
2023-08-06,29072.11914,29205.0,28991.89062,29088.42969
2023-08-07,29086.68945,29276.7793,28729.15039,29211.18945
2023-08-08,29212.49023,30168.0,29146.44922,29778.75
2023-08-09,29770.41992,30099.57031,29390.099609,29581.99023
2023-08-10,29587.39062,29723.59961,29384.90039,29455.75
2023-08-11,29455.75977,29552.78906,29271.99023,29426.019531
2023-08-12,29426.029297,29481.33984,29381.61914,29430.16992
2023-08-13,29430.17969,29472.60938,29274.0097656,29303.83984
2023-08-14,29296.26953,29694.0097656,29120.019531,29430.92969
2023-08-15,29429.93945,29477.029297,29126.0097656,29200.0
2023-08-16,29198.0097656,29257.46094,28723.58008,28732.99023
2023-08-17,28724.19922,28778.28906,25300.0097656,26633.33984
2023-08-18,26606.0,26799.10938,25693.99023,26053.99023
2023-08-19,26059.91016,26265.7793,25801.099609,26100.0097656
2023-08-20,26090.0097656,26268.0,25997.98047,26190.0
2023-08-21,26190.0,26218.0097656,25852.98047,26126.91992
2023-08-22,26130.41992,26139.30078,25472.64062,26042.0097656
2023-08-23,26066.0,26808.7793,25815.99023,26436.91016
2023-08-24,26437.99023,26560.67969,25946.49023,26180.060547
2023-08-25,26179.070312,26273.039062,25824.2793,26060.0
2023-08-26,26061.76953,26120.0,25996.94922,26017.91016
2023-08-27,26011.99023,26177.61914,25969.10938,26101.76953
2023-08-28,26101.7793,26219.56055,25891.11914,26120.90039
2023-08-29,26124.15039,28040.070312,25922.0097656,27721.080078
2023-08-30,27717.050781,27755.76953,27023.41016,27299.99023
2023-08-31,27298.070312,27462.39062,25728.89062,25937.83984
2023-09-01,25950.75,26148.41016,25367.68945,25805.050781
2023-09-02,25809.99023,25975.16992,25755.38086,25869.51953
2023-09-03,25872.61914,26092.019531,25817.67969,25971.21094
2023-09-04,25974.18945,26097.21094,25664.19922,25826.029297
2023-09-05,25830.48047,25864.10938,25595.63086,25792.099609
2023-09-06,25796.14062,26033.59961,25401.26953,25759.94922
2023-09-07,25762.32031,26430.59961,25631.31055,26242.25977
2023-09-08,26258.86914,26405.61914,25710.34961,25910.46094
2023-09-09,25910.49023,25940.59961,25816.099609,25901.59961
2023-09-10,25902.66992,25992.91016,25621.98047,25841.59961
2023-09-11,25844.35938,25899.30078,24923.96094,25168.90039
2023-09-12,25160.11914,26457.56055,25134.82031,25834.82031
2023-09-13,25840.089844,26374.86914,25764.17969,26222.0097656
2023-09-14,26229.86914,26757.10938,26148.26953,26520.0
2023-09-15,26522.080078,26836.17969,26233.16992,26600.0
2023-09-16,26618.26953,26767.099609,26462.86914,26559.67969
2023-09-17,26559.66992,26613.2207,26404.93945,26528.0
2023-09-18,26529.34961,27407.99023,26402.41992,26758.94922
2023-09-19,26758.94922,27474.89062,26669.91016,27207.57031
2023-09-20,27196.30078,27376.84961,26857.21094,27125.0
2023-09-21,27125.0097656,27156.26953,26385.88086,26568.55078
2023-09-22,26562.10938,26736.39062,26488.33008,26580.66992
