datetime,open,high,low,close
2023-07-28,25.09,25.52,24.56,24.82
2023-07-29,24.82,25.38,24.76,25.16
2023-07-30,25.17,25.21,23.78,24.25
2023-07-31,24.22,24.78,23.61,23.72
2023-08-01,23.69,24.040001,23.030001,24.01
2023-08-02,24.059999,24.23,22.93,23.15
2023-08-03,23.13,23.37,22.48,22.64
2023-08-04,22.64,23.56,22.51,22.8
2023-08-05,22.79,22.93,22.32,22.65
2023-08-06,22.67,23.43,22.58,23.2
2023-08-07,23.22,23.58,22.42,23.11
2023-08-08,23.12,24.74,23.030001,24.21
2023-08-09,24.24,24.98,24.13,24.39
2023-08-10,24.39,24.86,24.14,24.61
2023-08-11,24.65,24.9,24.36,24.62
2023-08-12,24.62,25.13,24.4,24.9
2023-08-13,24.93,24.94,24.22,24.23
2023-08-14,24.21,25.28,24.12,25.18
2023-08-15,25.19,25.28,23.75,23.92
2023-08-16,23.87,24.02,22.44,22.82
2023-08-17,22.8,23.42,20.040001,21.7
2023-08-18,21.67,22.17,20.98,21.35
2023-08-19,21.34,22.15,21.31,21.9
2023-08-20,21.89,22.01,21.6,21.77
2023-08-21,21.77,21.77,20.44,21.19
2023-08-22,21.21,21.26,19.57,20.59
2023-08-23,20.57,21.78,20.45,21.74
2023-08-24,21.77,22.02,20.68,21.059999
2023-08-25,21.049999,21.049999,20.1,20.42
2023-08-26,20.4,20.42,20.21,20.29
2023-08-27,20.29,20.91,20.24,20.79
2023-08-28,20.77,20.78,20.09,20.57
2023-08-29,20.59,21.98,20.12,21.79
2023-08-30,21.81,21.95,20.6,20.81
2023-08-31,20.8,21.01,19.49,19.74
2023-09-01,19.7,19.92,19.08,19.32
2023-09-02,19.32,19.68,19.15,19.5
2023-09-03,19.5,19.67,19.26,19.57
2023-09-04,19.58,20.0,19.17,19.52
2023-09-05,19.54,20.57,19.049999,20.26
2023-09-06,20.26,20.37,19.21,19.64
2023-09-07,19.62,19.99,19.34,19.9
2023-09-08,19.94,20.27,19.39,19.61
2023-09-09,19.61,19.61,19.39,19.43
2023-09-10,19.43,19.44,17.85,18.24
2023-09-11,18.24,18.44,17.4,17.74
2023-09-12,17.73,18.7,17.57,17.91
2023-09-13,17.92,18.52,17.71,18.4
2023-09-14,18.41,19.3,18.41,18.85
2023-09-15,18.86,19.43,18.57,19.14
2023-09-16,19.15,19.41,18.88,19.13
2023-09-17,19.13,19.13,18.68,18.82
2023-09-18,18.8,20.12,18.61,19.65
2023-09-19,19.64,20.36,19.58,20.030001
2023-09-20,20.040001,20.51,19.82,20.29
2023-09-21,20.28,20.29,19.32,19.46
2023-09-22,19.46,19.78,19.17,19.43
2023-09-23,19.43,19.56,19.29,19.49
2023-09-24,19.5,19.65,19.28,19.36
2023-09-25,19.34,19.74,19.14,19.4
2023-09-26,19.39,19.52,18.86,19.030001
2023-09-27,19.02,19.46,18.76,19.13
2023-09-28,19.13,19.97,19.11,19.96
2023-09-29,19.98,20.42,19.85,20.28
2023-09-30,20.29,21.76,20.1,21.36
2023-10-01,21.37,24.44,21.14,23.89
2023-10-02,23.98,24.66,22.93,23.36
2023-10-03,23.41,24.7,23.27,23.61
2023-10-04,23.59,23.77,22.67,23.14
2023-10-05,23.11,23.73,22.59,22.67
2023-10-06,22.68,23.73,22.68,23.41
2023-10-07,23.42,24.11,23.09,23.3
2023-10-08,23.28,23.61,23.1,23.22
2023-10-09,23.2,23.37,21.79,22.1
2023-10-10,22.07,22.46,21.7,22.1
2023-10-11,22.11,22.42,21.63,22.02
2023-10-12,22.01,22.030001,21.040001,21.3
2023-10-13,21.28,22.17,21.12,21.84
2023-10-14,21.86,22.22,21.81,22.0
2023-10-15,21.99,22.15,21.67,21.91
2023-10-16,21.92,24.56,21.9,23.95
2023-10-17,23.97,24.52,23.59,23.93
2023-10-18,23.93,24.36,23.38,23.42
2023-10-19,23.39,25.42,23.16,24.94
2023-10-20,24.92,27.35,24.73,27.02
2023-10-21,27.030001,30.16,26.66,29.32
2023-10-22,29.3,29.99,28.12,29.049999
2023-10-23,28.98,32.72,28.77,31.92
2023-10-24,32.0,32.55,29.59,30.16
2023-10-25,30.2,33.85,30.040001,32.45
2023-10-26,32.46,33.24,30.79,32.78
2023-10-27,32.81,33.31,31.46,31.72
2023-10-28,31.69,32.5,31.41,31.63
2023-10-29,31.63,33.14,31.31,32.8
2023-10-30,32.83,35.19,32.34,34.94
2023-10-31,34.92,38.58,34.86,38.39
2023-11-01,38.41,46.45,37.9,41.099998
2023-11-02,41.26,44.49,38.77,40.25
2023-11-03,40.14,40.14,38.07,39.45
2023-11-04,39.46,42.67,39.029999,42.42
2023-11-05,42.49,42.82,40.27,41.14
2023-11-06,41.15,42.19,39.67,42.19
2023-11-07,42.16,44.4,40.26,42.94
2023-11-08,42.9,43.86,42.3,43.12
2023-11-09,43.11,48.76,42.029999,45.33
2023-11-10,45.29,57.44,45.080002,56.67
2023-11-11,56.85,63.54,53.62,56.38
2023-11-12,56.46,61.81,54.63,56.35
2023-11-13,56.26,59.8,51.6,51.63
2023-11-14,51.82,57.73,51.82,56.82
2023-11-15,56.81,67.010002,56.23,65.54
2023-11-16,65.77,68.07,56.57,57.83
2023-11-17,57.89,60.44,54.21,58.49
2023-11-18,58.36,59.31,54.84,58.55
2023-11-19,58.56,62.0,56.72,61.080002
2023-11-20,61.19,61.19,56.22,56.58
2023-11-21,56.53,57.3,51.37,51.65
2023-11-22,51.73,58.82,51.73,57.54
2023-11-23,57.67,59.5,56.2,56.41
2023-11-24,56.55,58.71,56.25,56.87
2023-11-25,56.68,59.72,55.81,58.8
2023-11-26,58.84,59.0,56.26,57.54
2023-11-27,57.55,58.029999,53.6,55.049999
2023-11-28,55.07,58.62,53.98,58.18
2023-11-29,58.25,61.7,57.76,59.29
2023-11-30,59.36,61.65,58.85,59.19
2023-12-01,59.31,61.84,58.61,59.75
2023-12-02,59.67,63.9,59.67,63.78
2023-12-03,63.65,65.41,62.33,62.98
2023-12-04,62.99,65.24,60.040001,61.58
2023-12-05,61.66,62.55,59.16,60.97
2023-12-06,61.080002,66.64,61.080002,61.88
2023-12-07,61.86,69.32,61.66,67.8
2023-12-08,67.9,75.24,67.9,74.89
2023-12-09,75.18,77.55,71.85,72.33
2023-12-10,72.57,74.83,70.75,74.75
2023-12-11,74.91,74.91,65.16,70.31
2023-12-12,70.25,72.39,65.98,68.57
2023-12-13,68.44,72.47,64.050003,70.59
2023-12-14,70.76,76.18,69.68,75.68
2023-12-15,75.79,79.46,72.22,72.56
2023-12-16,72.49,77.2,71.25,73.74
2023-12-17,73.71,74.95,70.6,70.84
2023-12-18,71.0,75.38,67.15,74.39
2023-12-19,74.42,76.36,71.85,73.089996
2023-12-20,73.029999,83.98,73.0,82.2
2023-12-21,82.28,95.43,81.21,93.92
2023-12-22,94.15,99.34,90.71,97.95
2023-12-23,98.0,109.65,92.85,107.94
2023-12-24,107.92,117.95,107.52,112.46
2023-12-25,112.9,125.45,108.16,120.78
2023-12-26,121.15,121.28,103.49,112.68
2023-12-27,112.64,115.27,105.059998,106.75
2023-12-28,106.75,109.41,97.31,101.83
2023-12-29,102.019997,109.71,99.63,106.17
2023-12-30,106.24,107.4,100.85,101.82
2023-12-31,101.94,105.16,99.6,101.58
2024-01-01,101.56,109.63,101.55,109.63
2024-01-02,109.78,116.92,106.050003,106.76
2024-01-03,106.74,109.88,86.099998,98.53
2024-01-04,98.47,108.040001,96.72,104.85
2024-01-05,104.88,105.25,95.59,99.92
2024-01-06,99.99,100.21,91.54,93.72
2024-01-07,93.81,96.71,87.92,89.33
2024-01-08,89.26,99.91,85.23,97.83
2024-01-09,97.88,103.89,95.48,99.37
2024-01-10,99.2,105.28,92.35,102.029999
2024-01-11,101.93,107.050003,97.78,99.86
2024-01-12,99.9,100.47,87.57,92.059998
2024-01-13,92.11,97.019997,89.59,95.77
2024-01-14,95.91,102.73,93.75,93.84
2024-01-15,93.96,96.88,93.2,94.4
2024-01-16,94.35,98.68,94.2,97.6
2024-01-17,97.72,102.7,96.89,102.089996
2024-01-18,102.29,103.46,91.66,94.37
2024-01-19,94.25,95.33,87.059998,93.66
2024-01-20,93.51,94.25,90.27,92.78
2024-01-21,92.79,93.9,90.84,91.080002
2024-01-22,91.019997,91.89,82.37,83.86
2024-01-23,83.89,85.95,79.019997,84.31
2024-01-24,84.2,89.3,83.32,88.78
2024-01-25,88.9,89.59,85.17,86.9
2024-01-26,86.8,93.68,86.099998,92.21
2024-01-27,92.29,94.47,90.72,94.28
2024-01-28,94.35,99.43,93.4,95.98
2024-01-29,95.92,101.87,95.11,101.61
2024-01-30,101.85,106.34,101.029999,101.37
2024-01-31,101.51,102.56,96.099998,97.050003
2024-02-01,96.89,98.019997,93.15,97.81
2024-02-02,97.88,102.51,97.47,100.55
2024-02-03,100.63,101.17,96.72,97.94
2024-02-04,97.85,98.54,95.099998,95.44
2024-02-05,95.47,98.66,94.18,95.64
2024-02-06,95.62,97.86,93.32,96.85
2024-02-07,96.89,101.42,94.77,101.07
2024-02-08,101.25,104.91,100.56,102.76
2024-02-09,102.87,108.95,102.82,106.9
2024-02-10,106.94,110.84,106.91,109.029999
2024-02-11,109.14,110.64,107.28,107.44
2024-02-12,107.48,112.21,103.54,111.8
