datetime,open,high,low,close
2024-01-01 00:00:00,101.72,104.75,101.51,103.07
2024-01-01 04:00:00,103.07,103.98,101.44,102.51
2024-01-01 08:00:00,102.49,104.95,101.78,104.32
2024-01-01 12:00:00,104.33,106.39,103.86,105.98
2024-01-01 16:00:00,105.99,109.07,105.83,108.81
2024-01-01 20:00:00,108.82,109.93,107.12,109.91
2024-01-02 00:00:00,109.93,113.15,108.46,111.41
2024-01-02 04:00:00,111.41,114.7,110.89,114.47
2024-01-02 08:00:00,114.47,116.95,112.55,113.86
2024-01-02 12:00:00,113.86,114.38,107.66,109.61
2024-01-02 16:00:00,109.62,110.48,106.36,107.67
2024-01-02 20:00:00,107.67,108.9,106.02,106.73
2024-01-03 00:00:00,106.72,108.7,106.48,108.11
2024-01-03 04:00:00,108.11,109.9,107.09,107.81
2024-01-03 08:00:00,107.8,109.38,102.3,103.42
2024-01-03 12:00:00,103.42,103.47,85.0,102.06
2024-01-03 16:00:00,102.03,103.3,95.21,97.38
2024-01-03 20:00:00,97.38,100.52,97.22,98.52
2024-01-04 00:00:00,98.52,102.0,97.54,101.1
2024-01-04 04:00:00,101.1,101.67,98.75,98.88
2024-01-04 08:00:00,98.89,99.26,96.6,98.51
2024-01-04 12:00:00,98.51,104.4,97.98,103.66
2024-01-04 16:00:00,103.66,106.86,101.49,105.16
2024-01-04 20:00:00,105.16,108.15,104.29,104.91
2024-01-05 00:00:00,104.91,105.48,98.5,100.95
2024-01-05 04:00:00,100.92,102.23,99.99,101.15
2024-01-05 08:00:00,101.16,103.17,99.07,99.62
2024-01-05 12:00:00,99.63,101.44,96.72,98.03
2024-01-05 16:00:00,98.03,98.89,95.23,97.95
2024-01-05 20:00:00,97.96,100.47,97.68,99.94
2024-01-06 00:00:00,99.93,100.3,97.76,98.66
2024-01-06 04:00:00,98.66,98.92,91.53,94.5
2024-01-06 08:00:00,94.51,95.7,93.7,94.45
2024-01-06 12:00:00,94.45,96.57,92.82,95.18
2024-01-06 16:00:00,95.18,97.24,94.52,95.05
2024-01-06 20:00:00,95.05,95.65,92.23,93.77
2024-01-07 00:00:00,93.77,96.3,91.0,92.9
2024-01-07 04:00:00,92.9,95.75,92.53,95.25
2024-01-07 08:00:00,95.26,95.62,92.91,94.53
2024-01-07 12:00:00,94.53,96.8,93.19,93.96
2024-01-07 16:00:00,93.96,95.0,93.0,94.75
2024-01-07 20:00:00,94.76,95.31,87.68,89.44
2024-01-08 00:00:00,89.44,90.9,85.16,87.25
2024-01-08 04:00:00,87.24,91.0,86.91,89.68
2024-01-08 08:00:00,89.68,92.24,88.48,92.23
2024-01-08 12:00:00,92.23,95.56,92.2,94.67
2024-01-08 16:00:00,94.69,99.97,93.76,99.26
2024-01-08 20:00:00,99.26,99.43,96.4,97.88
2024-01-09 00:00:00,97.88,99.8,95.25,99.79
2024-01-09 04:00:00,99.8,103.95,99.47,101.87
2024-01-09 08:00:00,101.87,102.67,99.49,101.88
2024-01-09 12:00:00,101.88,102.38,95.91,99.8
2024-01-09 16:00:00,99.79,101.44,98.17,99.29
2024-01-09 20:00:00,99.3,104.89,95.5,99.36
2024-01-10 00:00:00,99.36,100.21,97.53,99.65
2024-01-10 04:00:00,99.65,100.42,98.01,98.11
2024-01-10 08:00:00,97.93,98.21,96.3,97.31
2024-01-10 12:00:00,97.32,97.74,91.68,94.78
2024-01-10 16:00:00,94.77,98.39,93.99,96.31
2024-01-10 20:00:00,96.3,105.52,93.0,102.0
2024-01-11 00:00:00,101.99,102.15,99.16,100.32
2024-01-11 04:00:00,100.32,101.73,98.0,99.72
2024-01-11 08:00:00,99.71,104.59,99.55,104.43
2024-01-11 12:00:00,104.44,107.32,99.0,100.79
2024-01-11 16:00:00,100.79,101.53,97.67,101.36
2024-01-11 20:00:00,101.36,102.4,99.07,99.9
2024-01-12 00:00:00,99.89,100.34,97.47,97.73
2024-01-12 04:00:00,97.72,100.49,97.65,98.83
2024-01-12 08:00:00,98.83,99.13,97.58,98.22
2024-01-12 12:00:00,98.22,99.3,95.0,95.32
2024-01-12 16:00:00,95.33,96.69,92.68,95.21
2024-01-12 20:00:00,95.22,95.91,87.0,92.12
2024-01-13 00:00:00,92.14,92.65,89.51,91.08
